report_id,date,site,department,report_type,narrative,sif_label,lsr_ground_truth
RPT-2024-0124,2024-05-05,Sibsagar Wellhead,Mechanical Maintenance,Unsafe Act,Technician climbed a 6-metre ladder to access a flare tip without a buddy or fall arrest system. Ladder was not secured at the top. Worker fell 3 metres when the ladder slipped. Supervision was absent at the time.,1,Working at Height
RPT-2023-0490,2023-06-20,Duliajan Field,Electrical Maintenance,Incident,"Worker tripped on threshold at workshop entrance. Minor bruising, no lost time. Area marked.",0,None
RPT-2024-0413,2024-09-21,Duliajan Field,Wellhead Services,Unsafe Act,Fire exit sign lamp found to be non-functional in Block C. Maintenance work order raised.,0,None
RPT-2024-0334,2024-09-13,Numaligarh Refinery,Mechanical Maintenance,Near Miss,Near miss: toolbox slipped from bench and fell on floor — no one injured.,0,None
RPT-2023-0500,2023-06-13,Guwahati Terminal,Electrical Maintenance,Incident,Generator fuel cap found missing — temporary cap applied and procurement raised.,0,None
RPT-2024-0206,2024-09-14,Numaligarh Refinery,Pipeline Maintenance,Unsafe Act,"Worker reported minor cut on index finger from sharp file edge. First aid provided, no LTI.",0,None
RPT-2025-0491,2025-03-26,Digboi Pumping Station,Pipeline Maintenance,Unsafe Act,Worker spotted without safety glasses while using angle grinder — no active contact with sparks.,0,None
RPT-2025-0214,2025-04-11,Numaligarh Refinery,Drilling Operations,Unsafe Condition,Low tyre pressure observed on field vehicle FV-047. Tyre inflated to specification.,0,None
RPT-2024-0012,2024-10-12,Numaligarh Refinery,Wellhead Services,Unsafe Act,Worker entered a crude oil storage tank for inspection without conducting atmospheric testing. H2S concentration inside was later measured at 45 ppm — well above the IDLH of 10 ppm. No standby man was present and rescue equipment was not available at the entry point. Worker was new to the site.,1,Confined Space
RPT-2023-0170,2023-09-19,Duliajan Field,Civil Engineering,Incident,Worker climbed to the top of a 12-metre storage tank to inspect vent valves without wearing a safety harness. There were no guardrails on the tank roof. Wind speed was 35 km/h. Worker lost footing and was saved by another worker grabbing his arm. Supervision was absent at the time.,1,Working at Height
RPT-2024-0120,2024-08-26,Dibrugarh Drilling,Pipeline Maintenance,Incident,Painter was working from a makeshift platform of oil drums stacked 4 metres high without any fall protection. No scaffold inspection was done. Platform collapsed injuring the worker. The job was being rushed to meet a deadline.,1,Working at Height
RPT-2023-0212,2023-06-06,Sibsagar Wellhead,Pipeline Maintenance,Unsafe Act,Waste segregation not followed — non-hazardous waste disposed in hazardous bin.,0,None
RPT-2024-0426,2024-07-02,Barauni Pipeline,Drilling Operations,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2025-0196,2025-04-29,Barauni Pipeline,Wellhead Services,Incident,"Worker was standing in the line of fire while a hydraulic hose was being pressurised. The hose connection failed at 120 bar, ejecting the fitting at high velocity past the worker's face. No exclusion zone had been established.",1,Line of Fire
RPT-2025-0125,2025-06-01,Sibsagar Wellhead,Pipeline Maintenance,Incident,"Pipeline isolation valve was found in open position during a hydro-test operation. Zero energy verification was not performed. Pressure surged to 80 bar in a supposedly isolated section, causing a flange gasket to blow out. Shift handover had just occurred.",1,Energy Isolation
RPT-2025-0083,2025-04-14,Digboi Pumping Station,Civil Engineering,Incident,Field vehicle was travelling at 85 km/h on a 40 km/h rated access track in heavy rainfall. Driver was not wearing a seatbelt. The vehicle skidded and rolled over injuring all three occupants. Worker was new to the site.,1,Driving
RPT-2023-0084,2023-09-23,Barauni Pipeline,HSSE Department,Near Miss,Driver reversed a loaded tanker truck without a banksman in a congested yard. Reversing camera was defective. The truck reversed into a worker standing behind the vehicle. Supervision was absent at the time.,1,Driving
RPT-2024-0105,2024-01-15,Jorhat Well Pad,Mechanical Maintenance,Unsafe Act,Night shift crew continued a job beyond scope of original permit without re-authorization. Additional isolations needed were not applied. A near-fatal incident occurred from unexpected energy release. The job was being rushed to meet a deadline.,1,Work Authorisation
RPT-2023-0126,2023-03-17,Duliajan Field,Refinery Operations,Unsafe Act,"Electrical team started de-cabling a switchgear without a work permit. No JSA was conducted. An energised cable was cut, causing an arc flash and injuring the electrician's eyes. Supervision was absent at the time.",1,Work Authorisation
RPT-2023-0117,2023-12-27,Sibsagar Wellhead,HSSE Department,Unsafe Condition,Safety guard on a rotating coupling was removed to allow a running check and not replaced. Worker's sleeve caught on the exposed shaft causing a degloving injury. Shift handover had just occurred.,1,Bypassing Safety Controls
RPT-2025-0042,2025-01-05,Sibsagar Wellhead,Refinery Operations,Unsafe Act,Safety guard on a rotating coupling was removed to allow a running check and not replaced. Worker's sleeve caught on the exposed shaft causing a degloving injury. The job was being rushed to meet a deadline.,1,Bypassing Safety Controls
RPT-2024-0103,2024-08-29,Barauni Pipeline,Pipeline Maintenance,Near Miss,A 20kg tool bag was dropped from a scaffolding platform at 8 metres height while handing over tools. A worker below was struck on the shoulder despite a hard-hat area being declared. No tool tethering or toe-boards were installed on the platform.,1,Line of Fire
RPT-2025-0371,2025-02-04,Sibsagar Wellhead,Wellhead Services,Unsafe Act,Portable extinguisher inspection tag overdue by 3 days. Inspected and tagged.,0,None
RPT-2024-0451,2024-01-22,Sibsagar Wellhead,Drilling Operations,Unsafe Condition,Safety notice board in accommodation camp found to have outdated evacuation map. Updated.,0,None
RPT-2023-0066,2023-12-26,Digboi Pumping Station,Mechanical Maintenance,Incident,Worker entered a crude oil storage tank for inspection without conducting atmospheric testing. H2S concentration inside was later measured at 45 ppm — well above the IDLH of 10 ppm. No standby man was present and rescue equipment was not available at the entry point. Shift handover had just occurred.,1,Confined Space
RPT-2023-0111,2023-07-06,Sibsagar Wellhead,Wellhead Services,Unsafe Condition,Worker was driving after a 14-hour shift showing clear signs of fatigue. Vehicle departed the road and struck a tree. Journey management plan had not been followed. Shift handover had just occurred.,1,Driving
RPT-2025-0040,2025-06-04,Digboi Pumping Station,Drilling Operations,Unsafe Act,Driver reversed a loaded tanker truck without a banksman in a congested yard. Reversing camera was defective. The truck reversed into a worker standing behind the vehicle. The area was poorly lit.,1,Driving
RPT-2023-0299,2023-10-01,Jorhat Well Pad,Electrical Maintenance,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2024-0164,2024-12-01,Dibrugarh Drilling,Wellhead Services,Near Miss,A crane wire sling failed while lifting a wellhead valve. The load fell 3 metres and struck a worker who was standing within the exclusion zone. The sling was past its rated inspection date. The job was being rushed to meet a deadline.,1,Line of Fire
RPT-2025-0277,2025-05-09,Guwahati Terminal,Refinery Operations,Unsafe Act,Office ergonomics issue — monitor at incorrect height causing neck strain. Adjusted.,0,None
RPT-2023-0237,2023-06-25,Sibsagar Wellhead,Mechanical Maintenance,Unsafe Act,Fire exit sign lamp found to be non-functional in Block C. Maintenance work order raised.,0,None
RPT-2023-0258,2023-12-25,Dibrugarh Drilling,Electrical Maintenance,Unsafe Act,Waste segregation not followed — non-hazardous waste disposed in hazardous bin.,0,None
RPT-2025-0446,2025-04-05,Numaligarh Refinery,Pipeline Maintenance,Near Miss,Static discharge grounding strap missing from tanker loading bay. Replacement sourced.,0,None
RPT-2023-0346,2023-07-19,Guwahati Terminal,HSSE Department,Unsafe Act,Grease found on floor near lathe in maintenance workshop. Cleaned and root cause: lubrication over-applied.,0,None
RPT-2024-0011,2024-01-15,Guwahati Terminal,Wellhead Services,Near Miss,Lifting operation was performed without a valid lifting plan or pre-lift inspection of rigging gear. The shackle pin was found to be unscrewed partway through the lift. Load dropped 2 metres. The area was poorly lit.,1,Safe Mechanical Lifting
RPT-2024-0052,2024-11-14,Dibrugarh Drilling,Pipeline Maintenance,Incident,Relief valve on a compressor was found to have been wired shut with lock wire. Compressor pressure exceeded safety valve set-point by 30%. No authorisation had been obtained.,1,Bypassing Safety Controls
RPT-2024-0185,2024-11-22,Barauni Pipeline,Civil Engineering,Unsafe Act,Lifting operation was performed without a valid lifting plan or pre-lift inspection of rigging gear. The shackle pin was found to be unscrewed partway through the lift. Load dropped 2 metres.,1,Safe Mechanical Lifting
RPT-2024-0229,2024-05-13,Dibrugarh Drilling,Drilling Operations,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2023-0054,2023-12-18,Barauni Pipeline,HSSE Department,Near Miss,"Worker was standing in the line of fire while a hydraulic hose was being pressurised. The hose connection failed at 120 bar, ejecting the fitting at high velocity past the worker's face. No exclusion zone had been established. The job was being rushed to meet a deadline.",1,Line of Fire
RPT-2023-0456,2023-01-17,Barauni Pipeline,Refinery Operations,Near Miss,Temporary cable crossing ground-level in pedestrian area without ramp. Cable ramp fitted.,0,None
RPT-2023-0373,2023-09-03,Barauni Pipeline,Drilling Operations,Unsafe Condition,Static discharge grounding strap missing from tanker loading bay. Replacement sourced.,0,None
RPT-2024-0092,2024-05-12,Duliajan Field,Electrical Maintenance,Unsafe Condition,Painter was working from a makeshift platform of oil drums stacked 4 metres high without any fall protection. No scaffold inspection was done. Platform collapsed injuring the worker. Supervision was absent at the time.,1,Working at Height
RPT-2025-0195,2025-03-16,Guwahati Terminal,Wellhead Services,Incident,Electrical technician was working on a 415V motor control panel without lockout tagout. Panel door was left open with live busbars exposed. A nearby worker accidentally touched an energised conductor and received a severe electric shock. No isolation certificate was in place.,1,Energy Isolation
RPT-2024-0191,2024-02-22,Dibrugarh Drilling,Drilling Operations,Near Miss,Worker was driving after a 14-hour shift showing clear signs of fatigue. Vehicle departed the road and struck a tree. Journey management plan had not been followed. Worker was new to the site.,1,Driving
RPT-2023-0247,2023-02-08,Duliajan Field,Mechanical Maintenance,Near Miss,Slippery patch of water found near canteen entrance. Wet floor sign placed and area mopped.,0,None
RPT-2023-0267,2023-08-28,Barauni Pipeline,HSSE Department,Incident,Minor leak from pump mechanical seal — drip rate 2 drops/minute. Defect raised for next maintenance window.,0,None
RPT-2024-0253,2024-03-25,Numaligarh Refinery,Mechanical Maintenance,Unsafe Act,Office ergonomics issue — monitor at incorrect height causing neck strain. Adjusted.,0,None
RPT-2024-0008,2024-07-19,Dibrugarh Drilling,Mechanical Maintenance,Near Miss,"Maintenance crew commenced work on a heat exchanger without a valid permit to work. The permit had expired the previous day. Line isolation was not verified. Hot oil at 180°C was released when a flange was broken, burning one worker's hand.",1,Work Authorisation
RPT-2023-0119,2023-07-09,Barauni Pipeline,Wellhead Services,Near Miss,Fire and gas detector was found to have been inhibited for 72 hours without a formal bypass permit. A gas leak occurred during the inhibited period and was not detected for over 2 hours. The job was being rushed to meet a deadline.,1,Bypassing Safety Controls
RPT-2023-0006,2023-04-15,Jorhat Well Pad,Electrical Maintenance,Unsafe Act,"Worker was standing in the line of fire while a hydraulic hose was being pressurised. The hose connection failed at 120 bar, ejecting the fitting at high velocity past the worker's face. No exclusion zone had been established. Shift handover had just occurred.",1,Line of Fire
RPT-2024-0399,2024-03-28,Jorhat Well Pad,Wellhead Services,Unsafe Condition,Hard hat strap broken on worker entering site — replaced at gate before entry.,0,None
RPT-2023-0134,2023-04-28,Barauni Pipeline,Refinery Operations,Incident,A 20kg tool bag was dropped from a scaffolding platform at 8 metres height while handing over tools. A worker below was struck on the shoulder despite a hard-hat area being declared. No tool tethering or toe-boards were installed on the platform. Supervision was absent at the time.,1,Line of Fire
RPT-2024-0287,2024-10-12,Digboi Pumping Station,Mechanical Maintenance,Unsafe Act,Worker observed not wearing hi-vis vest in a designated PPE zone. Verbal warning issued.,0,None
RPT-2025-0265,2025-04-08,Numaligarh Refinery,Civil Engineering,Unsafe Act,Worn PPE — gloves with minor tear in use. Worker issued replacement gloves.,0,None
RPT-2024-0147,2024-07-16,Numaligarh Refinery,HSSE Department,Unsafe Condition,"Worker was standing in the line of fire while a hydraulic hose was being pressurised. The hose connection failed at 120 bar, ejecting the fitting at high velocity past the worker's face. No exclusion zone had been established. Shift handover had just occurred.",1,Line of Fire
RPT-2023-0187,2023-11-06,Digboi Pumping Station,Pipeline Maintenance,Unsafe Act,Truck driver was using a mobile phone while driving a heavy goods vehicle on a narrow field road. Vehicle crossed the centreline and collided head-on with an oncoming field truck. The job was being rushed to meet a deadline.,1,Driving
RPT-2025-0139,2025-05-06,Duliajan Field,HSSE Department,Near Miss,"During pig launching from a pipeline, a worker stood directly in front of the launcher barrel. The pig was ejected unexpectedly due to a valve sequencing error, narrowly missing the worker. The job was being rushed to meet a deadline.",1,Line of Fire
RPT-2024-0121,2024-01-05,Numaligarh Refinery,HSSE Department,Unsafe Act,Technician climbed a 6-metre ladder to access a flare tip without a buddy or fall arrest system. Ladder was not secured at the top. Worker fell 3 metres when the ladder slipped. The area was poorly lit.,1,Working at Height
RPT-2023-0460,2023-08-26,Jorhat Well Pad,Mechanical Maintenance,Unsafe Condition,"Worker reported minor cut on index finger from sharp file edge. First aid provided, no LTI.",0,None
RPT-2024-0427,2024-09-09,Duliajan Field,Pipeline Maintenance,Unsafe Act,Stacked materials in laydown area exceeded maximum stacking height. Re-stacked to safe height.,0,None
RPT-2024-0340,2024-05-25,Sibsagar Wellhead,Civil Engineering,Near Miss,Hard hat strap broken on worker entering site — replaced at gate before entry.,0,None
RPT-2023-0394,2023-08-13,Numaligarh Refinery,Civil Engineering,Unsafe Act,Warning sign at acid storage area faded and illegible. New sign printed and installed.,0,None
RPT-2025-0209,2025-05-23,Barauni Pipeline,Electrical Maintenance,Unsafe Condition,Generator fuel cap found missing — temporary cap applied and procurement raised.,0,None
